Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,25,OKC,26,507,6.5,.497,.794,.081,1.0,8.2,4.5,4.8,1.6,0.7,9.0,12.4,,0.0,0.7,0.7,.067,,-2.6,-0.1,-2.6,-0.1
2,Jaylen Adams\adamsja01,PG,22,ATL,8,27,10.4,.500,.833,.000,0.0,12.2,5.9,19.7,1.7,3.2,14.3,10.6,,0.0,0.0,0.0,.046,,-3.2,-0.7,-3.9,0.0
3,Steven Adams\adamsst01,C,25,OKC,28,936,21.1,.594,.000,.440,15.0,15.2,15.1,7.3,2.0,2.3,10.2,18.4,,2.3,1.7,4.0,.207,,1.4,2.2,3.5,1.3
4,Bam Adebayo\adebaba01,C,21,MIA,29,608,18.4,.606,.026,.565,10.6,25.1,17.7,13.2,1.6,4.0,16.9,15.9,,1.1,1.0,2.1,.169,,-0.8,3.3,2.5,0.7
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.6,.322,.400,.200,5.0,14.8,9.9,37.7,4.5,0.0,15.5,25.1,,-0.1,0.0,0.0,-0.037,,-3.7,1.1,-2.6,0.0
6,LaMarcus Aldridge\aldrila01,C,33,SAS,31,1011,19.8,.534,.021,.302,10.4,22.1,16.1,10.2,0.7,3.1,9.9,26.4,,1.3,0.9,2.2,.106,,-1.0,-0.2,-1.2,0.2
7,Rawle Alkins\alkinra01,G,21,CHI,1,3,38.4,.000,.000,.000,35.8,0.0,18.0,85.1,16.1,0.0,0.0,14.6,,0.0,0.0,0.0,.260,,9.1,11.2,20.3,0.0
8,Grayson Allen\allengr01,SG,23,UTA,17,165,3.9,.473,.661,.403,0.7,2.7,1.7,6.2,0.3,0.0,12.0,21.8,,-0.2,0.1,-0.1,-0.043,,-4.2,-4.7,-9.0,-0.3
9,Jarrett Allen\allenja01,C,20,BRK,30,813,19.8,.637,.095,.478,10.4,22.5,16.3,8.8,1.0,4.3,13.0,17.0,,2.0,0.9,2.9,.173,,0.7,2.2,2.9,1.0
10,Al-Farouq Aminu\aminual01,PF,28,POR,30,907,12.6,.589,.546,.255,5.0,22.9,14.2,3.4,1.5,1.0,10.1,12.5,,1.1,1.0,2.1,.112,,0.0,0.4,0.5,0.6
